accession,localization
Q14137,NUCLEUS/CHROMATIN
Q13823,NUCLEUS/CHROMATIN
Q9BRD0,NUCLEUS/CHROMATIN
Q9Y3T9,NUCLEUS/CHROMATIN
Q14690,NUCLEUS/CHROMATIN
Q5QJE6,NUCLEUS/CHROMATIN
Q13523,NUCLEUS/CHROMATIN
O60563,NUCLEUS/CHROMATIN
O95602,NUCLEUS/CHROMATIN
Q9Y5J1,NUCLEUS/CHROMATIN
Q8IY18,NUCLEUS/CHROMATIN
Q9NZM5,NUCLEUS/CHROMATIN
Q9H7N4,NUCLEUS/CHROMATIN
Q2NL82,NUCLEUS/CHROMATIN
Q9NYH9,NUCLEUS/CHROMATIN
Q8IY81,NUCLEUS/CHROMATIN
Q15061,NUCLEUS/CHROMATIN
P78316,NUCLEUS/CHROMATIN
Q8WTT2,NUCLEUS/CHROMATIN
Q8IYL3,NUCLEUS/CHROMATIN
Q9Y2R4,NUCLEUS/CHROMATIN
Q969X6,NUCLEUS/CHROMATIN
Q9UPN6,NUCLEUS/CHROMATIN
Q03188,NUCLEUS/CHROMATIN
Q96SB8,NUCLEUS/CHROMATIN
Q5SY16,NUCLEUS/CHROMATIN
Q9NRL2,NUCLEUS/CHROMATIN
Q9NQS7-2,NUCLEUS/CHROMATIN
Q8N3U4,NUCLEUS/CHROMATIN
O60287,NUCLEUS/CHROMATIN
Q6P0N0,NUCLEUS/CHROMATIN
P51659,PEROXISOME
O00116,PEROXISOME
P09110,PEROXISOME
P28288,PEROXISOME
Q9BTZ2,PEROXISOME
Q9NUI1,PEROXISOME
Q08426,PEROXISOME
Q8WVX9,PEROXISOME
O15254,PEROXISOME
O14734,PEROXISOME
Q9NR77,PEROXISOME
Q9UJ83-2,PEROXISOME
O14832,PEROXISOME
O15228,PEROXISOME
O00161,PM
O75781,PM
P35221,PM
Q9Y2J2-2,PM
P08754,PM
O60262,PM
P10301,PM
P05023,PM
Q12846,PM
P84095,PM
P35222,PM
P06756-3,PM
Q14699,PM
P50895,PM
P78310,PM
P08582,PM
Q7Z2K8,PM
Q9GZY6,PM
P16070-18,PM
P05556,PM
Q9Y666,PM
Q13740-2,PM
P78536,PM
Q8TAA9,PM
P18084,PM
P17301,PM
P20020-6,PM
P25445-6,PM
Q9BY67-5,PM
P29323-2,PM
P54760,PM
O15031,PM
Q9ULK5,PM
Q92692,PM
Q9UIW2,PM
O95297-2,PM
Q14126,PM
P14384,PM
P19022,PM
Q8IWT6,PM
Q96I34,PM
O14786,PM
P08648,PM
Q58EX2-3,PM
P05106,PM
P10586-2,PM
Q99808,PM
P08183,PM
P20594,PM
P11166,PM
P53985,PM
O75882,PM
Q9UPR5,PM
Q9HAR2,PM
P53794,PM
P06213-2,PM
P35998,PROTEASOME
P62191,PROTEASOME
O14818,PROTEASOME
O00231,PROTEASOME
Q9UNM6,PROTEASOME
P28074,PROTEASOME
O00232,PROTEASOME
P25786,PROTEASOME
O43242,PROTEASOME
P25789,PROTEASOME
P60900,PROTEASOME
Q13200,PROTEASOME
P43686,PROTEASOME
P25787,PROTEASOME
P55036,PROTEASOME
