accession,localization
Q9H270,Endosome 
Q9H270,Endosome 
Q9H270,Endosome 
Q9H270,Endosome 
Q9H270,Endosome 
Q9H269,Endosome 
Q9H269,Endosome 
Q9H269,Endosome 
Q9H269,Endosome 
Q9H269,Endosome 
Q9H269,Endosome 
Q9P253,Endosome 
Q9P253,Endosome 
Q9P253,Endosome 
Q9P253,Endosome 
Q9P253,Endosome 
Q9P253,Endosome 
O75436,Endosome 
O75436,Endosome 
O75436,Endosome 
O75436,Endosome 
O75436,Endosome 
O75436,Endosome 
Q4G0F5,Endosome 
Q4G0F5,Endosome 
Q4G0F5,Endosome 
Q4G0F5,Endosome 
Q4G0F5,Endosome 
Q4G0F5,Endosome 
Q9UBQ0,Endosome 
Q9UBQ0,Endosome 
Q9UBQ0,Endosome 
Q9UBQ0,Endosome 
Q9UBQ0,Endosome 
Q9UBQ0,Endosome 
Q96AX1,Endosome 
Q96AX1,Endosome 
Q96AX1,Endosome 
Q96AX1,Endosome 
Q96AX1,Endosome 
Q96AX1,Endosome 
Q96QK1,Endosome 
Q96QK1,Endosome 
Q96QK1,Endosome 
Q96QK1,Endosome 
Q96QK1,Endosome 
Q96QK1,Endosome 
P49754,Endosome 
P49754,Endosome 
P49754,Endosome 
P49754,Endosome 
Q9NRW7,Endosome 
Q9NRW7,Endosome 
Q9NRW7,Endosome 
Q9NRW7,Endosome 
Q9NRW7,Endosome 
Q9NRW7,Endosome 
Q96AJ9,Endosome 
Q96AJ9,Endosome 
Q96AJ9,Endosome 
Q9UEU0,Endosome 
Q9UEU0,Endosome 
Q9UEU0,Endosome 
Q9UEU0,Endosome 
Q9UEU0,Endosome 
Q9UEU0,Endosome 
Q8IWB7,Endosome 
Q8IWB7,Endosome 
Q8IWB7,Endosome 
Q8IWB7,Endosome 
Q8IWB7,Endosome 
Q8IWB7,Endosome 
O60613,ER
O60613,ER
O60613,ER
O60613,ER
P51648,ER
P51648,ER
P51648,ER
P51648,ER
P51648,ER
P51648,ER
Q12797,ER
Q12797,ER
Q12797,ER
Q12797,ER
Q12797,ER
Q12797,ER
Q8NHH9,ER
Q8NHH9,ER
Q8NHH9,ER
Q8NHH9,ER
Q8NHH9,ER
Q8NHH9,ER
Q6DD88,ER
Q6DD88,ER
Q6DD88,ER
Q6DD88,ER
Q6DD88,ER
Q6DD88,ER
Q9HD20,ER
Q9HD20,ER
Q9HD20,ER
Q9HD20,ER
Q9HD20,ER
Q9HD20,ER
P16615,ER
P16615,ER
P16615,ER
P16615,ER
P16615,ER
P16615,ER
Q6Y288,ER
Q6Y288,ER
Q9UHQ4,ER
Q9UHQ4,ER
Q9UHQ4,ER
Q9UHQ4,ER
Q9UHQ4,ER
Q9UHQ4,ER
P27797,ER
P27797,ER
P27797,ER
P27797,ER
P27797,ER
P27797,ER
P27824,ER
P27824,ER
P27824,ER
P27824,ER
P27824,ER
P27824,ER
Q6UWW8,ER
Q6UWW8,ER
Q99715,ER
Q99715,ER
Q99715,ER
Q99715,ER
Q99715,ER
Q99715,ER
Q8NBJ5,ER
Q8NBJ5,ER
Q8NBJ5,ER
Q8NBJ5,ER
Q8NBJ5,ER
Q8NBJ5,ER
P39656,ER
P39656,ER
P39656,ER
P39656,ER
P39656,ER
P39656,ER
Q9UBS4,ER
Q9UBS4,ER
Q9UBS4,ER
Q9UBS4,ER
Q9UBS4,ER
Q9UBS4,ER
Q8IXB1,ER
Q8IXB1,ER
Q8IXB1,ER
Q8IXB1,ER
Q8IXB1,ER
